run	f1	recall	precision	specifity	runtime
DS-1	0.802	0.834	0.773	0.726	0h 27min 18sek
DS-10	0.817	0.899	0.749	0.663	0h 25min 50sek
DS-2	0.799	0.826	0.773	0.729	0h 26min 1sek
DS-3	0.796	0.871	0.734	0.647	0h 27min 5sek
DS-4	0.792	0.812	0.773	0.733	0h 26min 25sek
DS-5	0.771	0.739	0.806	0.802	0h 26min 19sek
DS-6	0.789	0.828	0.754	0.697	0h 26min 0sek
DS-7	0.809	0.824	0.794	0.761	0h 26min 26sek
DS-8	0.797	0.83	0.766	0.718	0h 25min 50sek
DS-9	0.805	0.856	0.759	0.696	0h 25min 37sek
Mittelwert	0.798	0.832	0.768	0.717	0h 26min 17sek
Standardabweichung:	0.012	0.042	0.021	0.045	0h 0min 33sek
