run	f1	recall	precision	specifity	runtime
DS-1	0.807	0.829	0.787	0.749	0h 30min 8sek
DS-10	0.821	0.897	0.756	0.677	0h 30min 15sek
DS-2	0.823	0.865	0.784	0.735	0h 29min 38sek
DS-3	0.815	0.809	0.821	0.803	0h 29min 43sek
DS-4	0.812	0.865	0.766	0.703	0h 29min 57sek
DS-5	0.808	0.824	0.792	0.759	0h 30min 11sek
DS-6	0.8	0.802	0.797	0.772	0h 29min 29sek
DS-7	0.812	0.889	0.748	0.665	0h 30min 14sek
DS-8	0.838	0.879	0.801	0.756	0h 29min 46sek
DS-9	0.832	0.874	0.794	0.746	0h 30min 14sek
Mittelwert	0.817	0.853	0.785	0.737	0h 29min 58sek
Standardabweichung:	0.012	0.034	0.022	0.043	0h 0min 17sek
