Gesamtanzahl Artikel:	1806
Anzahl Artikel in Test:	1084
Anzahl Artikel in Train:	722
Anteil von Test an gesamten Artikeln:	0.6002
Gesamtanzahl Sätze:	2611
Anzahl Sätze in Test:	1581
Anzahl Sätze in Train:	1030
Anteil von Test an gesamten Sätzen:	0.6055
Gesamtanzahl interactions:	5549
Anzahl Interaktionen in Test:	3338
Anzahl Interaktionen in Train:	2211
Anteil von Test an gesamten Interaktionen:	0.6015
Gesamtes 0/1 Verhältnis:	0.8952
0/1 Verhältnis in Test:	0.8944
0/1 Verhältnis in Train:	0.8962
Verhältnis des 0/1 Verhältnis von Test und Train:	0.998
