run	f1	recall	precision	specifity	runtime
DS-1	0.855	0.875	0.836	0.809	1h 10min 44sek
DS-10	0.838	0.89	0.791	0.736	1h 1min 0sek
DS-2	0.836	0.838	0.833	0.813	1h 10min 53sek
DS-3	0.842	0.895	0.794	0.742	1h 11min 39sek
DS-4	0.826	0.868	0.788	0.738	1h 12min 0sek
DS-5	0.82	0.854	0.788	0.744	1h 30min 4sek
DS-6	0.84	0.864	0.818	0.784	1h 1min 20sek
DS-7	0.816	0.823	0.809	0.782	1h 1min 11sek
DS-8	0.837	0.913	0.773	0.698	1h 1min 25sek
DS-9	0.831	0.861	0.803	0.766	1h 1min 10sek
Mittelwert	0.834	0.868	0.803	0.761	1h 8min 8sek
Standardabweichung:	0.011	0.027	0.021	0.036	0h 9min 12sek
