run	f1	recall	precision	specifity	runtime
DS-1	0.825	0.899	0.762	0.685	0h 35min 43sek
DS-10	0.809	0.804	0.814	0.794	0h 35min 8sek
DS-2	0.82	0.849	0.793	0.752	0h 35min 12sek
DS-3	0.822	0.86	0.787	0.74	0h 35min 47sek
DS-4	0.822	0.87	0.78	0.726	0h 35min 58sek
DS-5	0.81	0.817	0.804	0.777	0h 5min 53sek
DS-6	0.818	0.799	0.838	0.827	0h 35min 20sek
DS-7	0.815	0.87	0.766	0.703	0h 35min 13sek
DS-8	0.813	0.8	0.827	0.813	0h 35min 2sek
DS-9	0.825	0.87	0.784	0.731	0h 35min 26sek
Mittelwert	0.818	0.844	0.795	0.755	0h 32min 28sek
Standardabweichung:	0.006	0.036	0.025	0.047	0h 9min 21sek
